matrix_size,thread_amount,single_thread_time,multi_thread_time,speedup
3,4,"[0.0013595, 0.0011928, 0.0011442]","[0.0008522, 0.0010676, 0.0008586]",1.330441980996257
3,8,"[0.0016288, 0.0011552, 0.0016474]","[0.0012132, 0.0013401, 0.001552]",1.0794339025162594
3,12,"[0.0014451, 0.0017492, 0.0014646]","[0.002446, 0.0032882, 0.001574]",0.6374893954735776
3,24,"[0.0018686, 0.0011769, 0.0012031]","[0.0028647, 0.0026976, 0.0031175]",0.48948132445448056
3,48,"[0.0011805, 0.0011769, 0.0011926]","[0.0036793, 0.0024693, 0.0033134]",0.3751849503276263
3,96,"[0.0013298, 0.001221, 0.0012688]","[0.0067739, 0.0073055, 0.0052505]",0.19760060838390264
3,192,"[0.0011063, 0.0011295, 0.0011915]","[0.0094321, 0.0085401, 0.0084411]",0.12975659989475
9,4,"[0.0011651, 0.0011618, 0.0011611]","[0.0009076, 0.0012003, 0.000904]",1.1580729771904776
9,8,"[0.0012172, 0.0013263, 0.0014527]","[0.0013934, 0.0019971, 0.0012376]",0.8634644886670557
9,12,"[0.0014337, 0.0012732, 0.0013742]","[0.0015614, 0.002317, 0.00166]",0.7368734652607251
9,24,"[0.0012349, 0.0012041, 0.0011138]","[0.0021937, 0.0021887, 0.0018504]",0.5700166859196508
9,48,"[0.0011402, 0.0014215, 0.0014632]","[0.0026712, 0.003719, 0.004883]",0.357032608309974
9,96,"[0.0015904, 0.0013895, 0.0013261]","[0.007469, 0.0062703, 0.0062276]",0.21565691218967392
9,192,"[0.0021531, 0.0019132, 0.0012535]","[0.0140141, 0.0157681, 0.0204233]",0.10596050233540152
18,4,"[0.0026267, 0.0023758, 0.0012134]","[0.0016552, 0.0013572, 0.0009202]",1.580608248995575
18,8,"[0.0012264, 0.0012943, 0.0012186]","[0.0013455, 0.0013044, 0.0015317]",0.894227090109049
18,12,"[0.0012526, 0.0015942, 0.0011544]","[0.0016109, 0.0016848, 0.0017928]",0.7863220988503488
18,24,"[0.0013011, 0.0013144, 0.0012563]","[0.002786, 0.0028502, 0.0024614]",0.47814167160640186
18,48,"[0.0011745, 0.0012694, 0.0015175]","[0.004987, 0.0030062, 0.0047924]",0.3098329370541859
18,96,"[0.0019518, 0.0019692, 0.0013327]","[0.0101983, 0.0082818, 0.0072341]",0.20431123659301087
18,192,"[0.0012151, 0.0030294, 0.0013464]","[0.0154725, 0.0132658, 0.0113686]",0.13939995362394
324,4,"[0.0017305, 0.0016183, 0.0019878]","[0.0010461, 0.00099, 0.0014811]",1.5172864778801323
